"Tijdstempel","In welke leeftijdsgroep val je?","Maak je gebruik van Social Media? Zo ja, kruis degene aan waar je gebruik van maakt:","Voel je je door Corona eenzamer?","Zijn er wel eens dingen die je anoniem wilt delen?","Als je ja gekozen hebt, hoe zou je dingen anoniem willen delen? Als je nee gekozen hebt mag je deze vraag overslaan.","Heb je wel eens gehoord van de Kindertelefoon?","Als je ja gekozen hebt, welke vormen van de kindertelefoon ken je? Als je nee gekozen hebt mag je deze vraag overslaan.","Hoe zou je het liefst benaderd willen worden door de Kindertelefoon voor informatie?","Op welke manier zou je de kindertelefoon het liefst willen benaderen? Kruis de opties aan die je het fijnst lijken"
"2021/09/17 11:18:11 a.m. EET","11 - 12","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","School","Bellen;Instagram"
"2021/09/17 11:18:14 a.m. EET","11 - 12","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","Social Media","Bellen;Instagram"
"2021/09/17 11:18:24 a.m. EET","11 - 12","TikTok;Snapchat;Whatsapp","Nee","Nee","","Ja","Bellen","Social Media","Bellen"
"2021/09/17 11:19:04 a.m. EET","13 - 14","Instagram;Facebook;Whatsapp;YouTube","Nee","Ja","Bellen","Ja","Bellen","School","Bellen;Whatsapp"
"2021/09/17 11:19:05 a.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","Social Media","E-mail"
"2021/09/17 11:19:17 a.m. EET","11 - 12","Whatsapp;YouTube;Anders","Nee","Ja","Bellen","Nee","","School;Social Media;Advertenties (flyers, posters);Sportclubs","Bellen;Whatsapp;Anders"
"2021/09/17 11:19:47 a.m. EET","11 - 12","Instagram;TikTok;Whatsapp;YouTube;Twitch","Nee","Nee","","Ja","Bellen","Social Media;Advertenties (flyers, posters)","Bellen;Whatsapp;TikTok"
"2021/09/17 11:20:51 a.m. EET","13 - 14","TikTok;Snapchat;Whatsapp;YouTube","Nee","Ja","Live Chat","Ja","Bellen;Live Chat","Social Media","Bellen;Live Chat;Whatsapp"
"2021/09/17 11:21:09 a.m. EET","11 - 12","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Ja","Nee","","Ja","Bellen","School","Bellen;E-mail"
"2021/09/17 11:23:39 a.m. EET","13 - 14","Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","School","Bellen;E-mail;Whatsapp"
"2021/09/17 11:23:59 a.m. EET","11 - 12","Instagram;TikTok;Snapchat;Whatsapp","Nee","Nee","Bellen","Ja","Bellen","Social Media","Bellen"
"2021/09/17 1:16:31 p.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Whatsapp;YouTube;Twitch","Nee","Ja","Bellen","Nee","","School","Anders"
"2021/09/19 8:47:46 p.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Ja","Bellen","Ja","Bellen","School","Bellen;Whatsapp;Snapchat"
